slug,title,category,intro,section1_title,section1_items,section2_title,section2_items
car-emergency-kit,Car Emergency Kit Checklist,emergency,A car emergency kit can help you stay safe during breakdowns or roadside emergencies. This checklist covers important supplies.,Basic Supplies,jumper cables | flashlight | tire pressure gauge | first aid kit,Helpful Supplies,blanket | bottled water | phone charger
power-outage-checklist,Power Outage Preparation Checklist,emergency,Losing power can be inconvenient and dangerous. This checklist helps you prepare before an outage happens.,Essential Supplies,flashlights | batteries | bottled water | nonperishable food,Helpful Supplies,portable charger | blankets
apartment-cleaning-checklist,Apartment Cleaning Checklist,home,Keeping your apartment clean is easier with a system. This checklist helps you stay organized with cleaning tasks.,Weekly Tasks,vacuum floors | wipe counters | clean bathroom | take out trash,Monthly Tasks,clean fridge | wipe baseboards | wash windows
first-day-college-checklist,First Day of College Checklist,college,The first day of college can feel overwhelming. This checklist helps you stay organized and prepared.,School Essentials,notebook | pens | laptop | student ID,Helpful Items,water bottle | backpack organizer
pet-emergency-kit,Pet Emergency Kit Checklist,pets,Pets need emergency preparation too. This checklist helps you prepare supplies in case of evacuation or disaster.,Pet Essentials,pet food | water | leash | carrier,Helpful Supplies,blanket | toys | treats
weekend-trip-checklist,Weekend Trip Packing Checklist,travel,Packing for a short trip should be simple. This checklist ensures you bring the essentials for a weekend getaway.,Essentials,clothes | toiletries | phone charger | wallet,Nice to Have,sunglasses | snacks | travel pillow
moving-out-checklist,Moving Out Checklist,moving,Leaving an apartment or house requires planning. This checklist helps ensure you don't forget important tasks.,Before Moving,notify landlord | schedule movers | transfer utilities | change address,Final Tasks,clean apartment | return keys | document condition
change-of-address-checklist,Change of Address Checklist,moving,Updating your address is an important step when moving. This checklist helps track who you need to notify.,Important Updates,bank | employer | subscriptions | insurance,Government Updates,DMV | voter registration | tax agencies
moving-with-kids-checklist,Moving With Kids Checklist,moving,Moving with children requires additional planning. This checklist helps make the transition smoother.,Preparation Steps,talk with kids | organize school records | pack favorite toys,Moving Day Activities,snacks | entertainment | comfort items
first-home-checklist,First Home Buyer Checklist,home,Buying your first home can be overwhelming. This checklist helps you stay organized through the process.,Preparation Steps,check credit score | save down payment | compare lenders,Closing Tasks,home inspection | insurance | closing documents
housewarming-party-checklist,Housewarming Party Checklist,home,Hosting a housewarming party is easier with a plan. Use this checklist to stay organized.,Party Preparation,invite guests | plan menu | clean home,Party Supplies,plates | drinks | decorations
decluttering-checklist,Home Decluttering Checklist,home,Decluttering your home can feel overwhelming. This checklist helps break it down step by step.,Start With,closets | drawers | storage boxes,Donation Items,clothes | unused electronics | old furniture
weekly-meal-prep-checklist,Weekly Meal Prep Checklist,home,Meal prepping can save time and money. This checklist helps you stay organized for the week.,Preparation Steps,plan meals | grocery list | prep ingredients,Cooking Tasks,cook proteins | portion meals
kitchen-cleaning-checklist,Kitchen Cleaning Checklist,home,Keeping your kitchen clean is easier with a routine. This checklist covers common tasks.,Daily Tasks,wipe counters | wash dishes | sweep floor,Deep Cleaning,clean oven | sanitize fridge
bathroom-cleaning-checklist,Bathroom Cleaning Checklist,home,A clean bathroom helps maintain hygiene. This checklist keeps track of cleaning tasks.,Regular Tasks,clean sink | wipe mirror | scrub toilet,Deep Clean,clean shower | disinfect surfaces
garage-organization-checklist,Garage Organization Checklist,home,Organizing your garage creates more storage space and improves safety.,Sort Items,tools | sports equipment | storage bins,Organize Space,install shelves | label boxes
yard-maintenance-checklist,Yard Maintenance Checklist,home,Regular yard maintenance keeps your outdoor space looking great.,Weekly Tasks,mow lawn | water plants,Seasonal Tasks,trim trees | fertilize lawn
fall-home-prep-checklist,Fall Home Maintenance Checklist,home,Preparing your home for fall prevents seasonal problems.,Outdoor Tasks,clean gutters | inspect roof,Indoor Tasks,check heating system | seal windows
summer-home-prep-checklist,Summer Home Maintenance Checklist,home,Summer weather can impact your home. This checklist helps prepare your house.,Outdoor Prep,inspect AC unit | clean patio,Indoor Tasks,check fans | test smoke detectors
winter-home-prep-checklist,Winter Home Preparation Checklist,home,Preparing your home for winter helps prevent damage.,Preparation Steps,seal windows | inspect heating system,Emergency Prep,stock blankets | emergency kit
daily-cleaning-checklist,Daily Cleaning Checklist,home,Daily cleaning helps maintain a tidy home.,Morning Tasks,make bed | wipe counters,Evening Tasks,do dishes | tidy living room
bedroom-cleaning-checklist,Bedroom Cleaning Checklist,home,Keeping your bedroom clean improves comfort and organization.,Weekly Tasks,change sheets | vacuum floor,Monthly Tasks,organize closet | dust furniture
laundry-day-checklist,Laundry Day Checklist,home,Laundry is easier when organized. This checklist helps keep track of tasks.,Preparation Steps,sort clothes | check pockets,Cleaning Tasks,wash clothes | fold laundry
grocery-budget-checklist,Grocery Budget Checklist,finance,Managing grocery spending helps control your budget.,Planning Steps,set weekly budget | make list,Shopping Tips,buy store brands | compare prices
monthly-budget-checklist,Monthly Budget Checklist,finance,Tracking your finances monthly helps you stay on budget.,Income Tracking,salary | side income,Expense Tracking,rent | groceries | utilities
debt-payoff-checklist,Debt Payoff Checklist,finance,Paying off debt requires planning and discipline.,Planning Steps,list debts | prioritize payments,Action Steps,extra payments | track progress
job-search-checklist,Job Search Checklist,career,Searching for a job is easier with a plan. This checklist helps organize your search.,Preparation Steps,update resume | update LinkedIn,Application Tasks,submit applications | track responses
resume-writing-checklist,Resume Writing Checklist,career,Writing a strong resume improves your job chances.,Content Steps,add experience | list skills,Formatting Tips,use clear headings | proofread
networking-checklist,Professional Networking Checklist,career,Building a professional network helps your career.,Networking Steps,attend events | connect on LinkedIn,Follow Up,send messages | maintain contacts
remote-work-checklist,Remote Work Setup Checklist,career,Working from home requires the right setup.,Workspace Setup,desk | chair | monitor,Productivity Tools,calendar | task manager
side-hustle-checklist,Starting a Side Hustle Checklist,career,Starting a side business requires preparation.,Planning Steps,choose idea | research market,Launch Steps,create website | promote service
first-day-work-checklist,First Day At Work Checklist,career,Starting a new job can feel overwhelming. This checklist helps you prepare.,Preparation Steps,confirm schedule | plan commute,Bring With You,notebook | ID | lunch
college-application-checklist,College Application Checklist,college,Applying to college requires multiple steps.,Application Steps,choose schools | write essays,Submission Tasks,submit forms | send transcripts
college-orientation-checklist,College Orientation Checklist,college,College orientation helps you prepare for campus life.,Preparation Steps,register sessions | pack essentials,During Orientation,take notes | meet advisors
study-session-checklist,Study Session Checklist,college,A study session is more effective with preparation.,Before Studying,gather notes | remove distractions,During Study,review material | take breaks
final-exam-checklist,Final Exam Preparation Checklist,college,Preparing for finals requires organization.,Preparation Steps,review notes | create schedule,Exam Day,bring ID | arrive early
student-budget-checklist,Student Budget Checklist,college,Managing money as a student is important.,Income Sources,allowance | part-time job,Expenses,rent | food | books
new-pet-checklist,New Pet Owner Checklist,pets,Bringing home a pet requires preparation.,Pet Essentials,food | bowls | bed | toys,Health Items,vet appointment | vaccinations
puppy-training-checklist,Puppy Training Checklist,pets,Training a puppy requires consistency.,Training Basics,house training | basic commands,Helpful Tools,training treats | clicker
cat-care-checklist,Cat Care Checklist,pets,Caring for a cat requires daily routines.,Daily Care,food | water | litter box,Weekly Care,brush fur | clean bedding
pet-grooming-checklist,Pet Grooming Checklist,pets,Grooming keeps pets healthy and comfortable.,Grooming Tasks,brush fur | trim nails,Bathing Supplies,pet shampoo | towel
dog-park-checklist,Dog Park Checklist,pets,Visiting the dog park is more fun when prepared.,Dog Essentials,leash | water | waste bags,Extras,toys | treats
vacation-planning-checklist,Vacation Planning Checklist,travel,Planning a vacation requires preparation.,Before Booking,set budget | choose destination,Before Departure,pack bags | confirm reservations
hotel-stay-checklist,Hotel Stay Checklist,travel,Staying in a hotel is easier with preparation.,Before Arrival,confirm booking | pack essentials,During Stay,secure valuables | check amenities
flight-travel-checklist,Flight Travel Checklist,travel,Air travel requires preparation and planning.,Documents,passport | boarding pass,Travel Essentials,neck pillow | headphones
carry-on-checklist,Carry On Packing Checklist,travel,A carry-on bag should contain important essentials.,Essentials,passport | phone charger,Comfort Items,neck pillow | snacks
family-vacation-checklist,Family Vacation Checklist,travel,Traveling with family requires planning.,Packing Essentials,clothes | toiletries,Travel Items,entertainment | snacks
beach-vacation-checklist,Beach Vacation Packing Checklist,travel,A beach vacation requires specific gear.,Beach Gear,towels | sunscreen,Extras,cooler | umbrella
cruise-packing-checklist,Cruise Packing Checklist,travel,Packing for a cruise requires specific items.,Documents,passport | tickets,Clothing,formal wear | swimwear
hiking-checklist,Hiking Checklist,travel,Hiking requires the right gear for safety.,Essential Gear,hiking boots | backpack,Safety Items,map | first aid kit
bike-ride-checklist,Bike Ride Checklist,travel,Preparing for a bike ride ensures safety.,Bike Gear,helmet | bike lock,Extras,water bottle | repair kit
festival-packing-checklist,Festival Packing Checklist,travel,Music festivals require preparation.,Festival Gear,tent | portable charger,Extras,ear plugs | snacks
wedding-planning-checklist,Wedding Planning Checklist,events,Planning a wedding involves many tasks.,Planning Steps,set budget | choose venue,Final Steps,confirm vendors | finalize guest list
birthday-party-checklist,Birthday Party Checklist,events,Hosting a birthday party requires preparation.,Party Prep,guest list | decorations,Food and Drinks,cake | snacks
baby-shower-checklist,Baby Shower Checklist,events,Planning a baby shower requires organization.,Preparation Steps,choose theme | send invites,Party Supplies,decorations | gifts
graduation-party-checklist,Graduation Party Checklist,events,Graduation celebrations require planning.,Preparation Steps,guest list | decorations,Party Items,food | music
moving-packing-checklist,Packing For A Move Checklist,moving,Packing your belongings before moving requires organization.,Packing Supplies,boxes | tape | markers,Packing Steps,label boxes | pack fragile items
home-office-setup-checklist,Home Office Setup Checklist,home,A home office improves productivity.,Office Essentials,desk | chair | computer,Extras,desk lamp | storage
office-moving-checklist,Office Moving Checklist,business,Moving an office requires planning.,Preparation Steps,notify employees | inventory equipment,Moving Tasks,pack electronics | update address
business-startup-checklist,Small Business Startup Checklist,business,Starting a business involves multiple steps.,Planning Steps,write business plan | register business,Launch Steps,create website | marketing plan
restaurant-opening-checklist,Restaurant Opening Checklist,business,Opening a restaurant requires preparation.,Setup Tasks,licenses | equipment,Opening Prep,menu testing | staff training
startup-launch-checklist,Startup Launch Checklist,business,Launching a startup requires planning.,Planning Steps,market research | build product,Launch Steps,marketing campaign | user testing
daily-work-checklist,Daily Work Checklist,career,A daily work checklist improves productivity.,Morning Tasks,check email | plan day,End Of Day,review tasks | prepare tomorrow
weekly-planner-checklist,Weekly Planning Checklist,productivity,Planning your week improves organization.,Planning Steps,review goals | schedule tasks,Weekly Review,track progress | adjust plan
morning-routine-checklist,Morning Routine Checklist,productivity,A morning routine helps start the day productively.,Morning Tasks,drink water | exercise,Preparation Tasks,plan day | check schedule
evening-routine-checklist,Evening Routine Checklist,productivity,An evening routine helps prepare for the next day.,Evening Tasks,clean space | plan tomorrow,Relaxation,read | unwind
goal-setting-checklist,Goal Setting Checklist,productivity,Setting goals improves focus and productivity.,Planning Steps,define goals | set deadlines,Tracking Steps,review progress | adjust goals
earthquake-prep-checklist,Earthquake Preparedness Checklist,emergency,Preparing for earthquakes helps keep families safe. This checklist covers the essentials.,Emergency Supplies,water | nonperishable food | flashlight | batteries | first aid kit,Preparedness Steps,secure furniture | emergency plan
tornado-prep-checklist,Tornado Preparedness Checklist,emergency,Tornadoes can occur suddenly. This checklist helps you prepare in advance.,Emergency Supplies,bottled water | flashlight | batteries | weather radio,Safety Steps,identify safe room | emergency plan
evacuation-checklist,Emergency Evacuation Checklist,emergency,Having an evacuation plan helps during disasters.,Preparation Steps,pack emergency bag | identify routes | notify family,Important Items,documents | medications | phone charger
fire-escape-plan-checklist,Fire Escape Plan Checklist,emergency,A fire escape plan helps families respond quickly in emergencies.,Planning Steps,identify exits | practice drills,Safety Items,smoke alarms | fire extinguisher
storm-shelter-checklist,Storm Shelter Checklist,emergency,Storm shelters require preparation for extended stays.,Shelter Supplies,water | food | flashlight,Comfort Items,blankets | portable radio
rv-packing-checklist,RV Travel Packing Checklist,travel,RV travel requires specific supplies for comfort.,RV Essentials,water hose | leveling blocks | power cord,Camping Extras,chairs | outdoor mat
europe-travel-checklist,Europe Travel Checklist,travel,Traveling to Europe requires preparation and documentation.,Documents,passport | travel insurance | tickets,Travel Items,adapter | luggage tags
winter-travel-checklist,Winter Travel Packing Checklist,travel,Cold weather trips require special packing.,Winter Clothing,coat | gloves | scarf | boots,Travel Gear,hand warmers | thermal socks
summer-vacation-checklist,Summer Vacation Checklist,travel,Summer travel planning helps avoid forgotten items.,Clothing,t-shirts | shorts | sandals,Travel Items,sunscreen | sunglasses
ski-trip-checklist,Ski Trip Packing Checklist,travel,Ski vacations require special equipment and clothing.,Ski Gear,ski jacket | ski pants | goggles,Accessories,gloves | helmet
snowboarding-trip-checklist,Snowboarding Trip Checklist,travel,Snowboarding trips require preparation and equipment.,Snow Gear,board | boots | helmet,Clothing,snow pants | thermal layers
international-flight-checklist,International Flight Checklist,travel,International flights require additional preparation.,Documents,passport | visa | tickets,Comfort Items,neck pillow | headphones
moving-cross-country-checklist,Cross Country Moving Checklist,moving,Moving long distances requires additional planning.,Planning Steps,book movers | transfer utilities,Packing Steps,label boxes | pack essentials
downsizing-checklist,Downsizing Checklist,moving,Downsizing requires careful planning and decluttering.,Preparation Steps,sort belongings | donate items,Moving Tasks,pack essentials | update address
apartment-inspection-checklist,Apartment Inspection Checklist,home,Inspecting an apartment before move-in helps avoid problems.,Inspection Steps,check appliances | inspect plumbing,Documentation,take photos | record issues
home-renovation-checklist,Home Renovation Checklist,home,Renovations require preparation and planning.,Planning Steps,set budget | hire contractor,Preparation Tasks,clear space | order materials
painting-room-checklist,Room Painting Checklist,home,Painting a room requires preparation.,Prep Steps,clean walls | tape edges,Painting Supplies,rollers | brushes | paint trays
home-security-checklist,Home Security Checklist,home,Improving home security protects your family.,Security Items,door locks | cameras | motion lights,Safety Steps,test alarms | secure windows
deep-cleaning-checklist,Deep Cleaning Checklist,home,A deep clean keeps your home fresh and organized.,Cleaning Tasks,clean appliances | wash curtains,Organizing Tasks,declutter shelves | organize closets
newborn-baby-checklist,Newborn Baby Essentials Checklist,baby,Preparing for a newborn requires planning.,Baby Essentials,diapers | wipes | onesies,Nursery Items,crib | changing table
baby-proofing-checklist,Baby Proofing Checklist,baby,Baby proofing keeps your home safe for infants.,Safety Steps,cover outlets | install gates,Monitoring Items,baby monitor | cabinet locks
toddler-travel-checklist,Toddler Travel Checklist,travel,Traveling with toddlers requires preparation.,Toddler Essentials,snacks | toys | wipes,Travel Items,stroller | travel crib
dog-hiking-checklist,Hiking With Dog Checklist,pets,Hiking with your dog requires preparation.,Dog Essentials,leash | water bowl | treats,Safety Items,first aid kit | waste bags
cat-travel-checklist,Traveling With Cat Checklist,pets,Traveling with cats requires special preparation.,Cat Essentials,carrier | litter box | food,Comfort Items,blanket | toys
pet-first-aid-checklist,Pet First Aid Checklist,pets,A pet first aid kit helps during emergencies.,Medical Supplies,bandages | antiseptic | tweezers,Pet Essentials,contact vet | emergency numbers
puppy-shopping-checklist,Puppy Supply Shopping Checklist,pets,New puppy owners need basic supplies.,Essentials,food | leash | collar,Training Items,training pads | treats
cat-owner-checklist,First Time Cat Owner Checklist,pets,First time cat owners should prepare their home.,Cat Supplies,litter box | food bowls | toys,Comfort Items,scratching post | bed
wedding-day-checklist,Wedding Day Checklist,events,Your wedding day requires careful planning.,Morning Tasks,hair appointment | makeup,Event Essentials,rings | marriage license
engagement-party-checklist,Engagement Party Checklist,events,Engagement parties celebrate a new milestone.,Planning Steps,choose venue | invite guests,Party Supplies,decorations | food
anniversary-party-checklist,Anniversary Party Checklist,events,Anniversary celebrations require planning.,Preparation Steps,guest list | venue,Party Items,cake | music
holiday-party-checklist,Holiday Party Checklist,events,Holiday gatherings require preparation.,Party Prep,guest list | decorations,Food Items,drinks | appetizers
thanksgiving-dinner-checklist,Thanksgiving Dinner Checklist,events,Preparing Thanksgiving dinner requires planning.,Food Prep,turkey | stuffing | vegetables,Table Setup,plates | utensils
christmas-prep-checklist,Christmas Preparation Checklist,events,Preparing for Christmas requires organization.,Holiday Tasks,decorate tree | buy gifts,Planning Steps,send cards | plan meals
new-years-party-checklist,New Years Party Checklist,events,Hosting a New Years party requires preparation.,Party Prep,decorations | guest list,Party Items,champagne | music
home-gym-checklist,Home Gym Setup Checklist,fitness,Setting up a home gym requires planning.,Equipment,dumbbells | yoga mat | bench,Extras,resistance bands | water bottle
workout-bag-checklist,Gym Bag Checklist,fitness,A gym bag checklist ensures you bring everything.,Gym Essentials,shoes | towel | water bottle,Extras,headphones | protein bar
marathon-training-checklist,Marathon Training Checklist,fitness,Training for a marathon requires preparation.,Training Gear,running shoes | watch,Nutrition Items,energy gels | hydration
cycling-gear-checklist,Cycling Gear Checklist,fitness,Cyclists need proper equipment for safety.,Bike Gear,helmet | gloves,Safety Items,lights | repair kit
carry-on-only-checklist,Carry On Only Packing Checklist,travel,Packing carry on only is easier with a plan. This checklist keeps your bag light and complete.,Carry On Essentials,passport | wallet | phone charger | headphones | medications,Clothing Basics,underwear | socks | t shirts | lightweight jacket
week-long-trip-checklist,Week Long Trip Packing Checklist,travel,Packing for a week is easier with a checklist. This list covers essentials for most trips.,Clothes,shirts | pants | underwear | socks | pajamas,Travel Items,toiletries | phone charger | laundry bag | travel pillow
camping-food-checklist,Camping Food Checklist,travel,Camping meals are easier when planned. This checklist helps you pack food and cooking basics.,Food Basics,breakfast items | lunch items | dinner items | snacks | drinks,Cooking Items,cooler | ice | camp stove fuel | cookware | utensils
camping-safety-checklist,Camping Safety Checklist,travel,Camping is safer when you plan ahead. This checklist covers safety essentials.,Safety Gear,first aid kit | flashlight | extra batteries | whistle | map,Weather Prep,rain jacket | warm layers | sunscreen | bug spray
national-park-checklist,National Park Trip Checklist,travel,National park trips are better with preparation. This checklist covers essentials for a great day.,Essentials,park pass | water | snacks | map | sunscreen,Hiking Extras,daypack | hat | binoculars | camera
airbnb-stay-checklist,Airbnb Stay Checklist,travel,A short checklist helps you remember essentials for an Airbnb stay. It also helps at checkout.,Before Arrival,confirm address | check in instructions | parking info,Checkout Tasks,trash out | dishes done | lock doors
campus-move-in-checklist,Campus Move In Checklist,college,Campus move in day can be hectic. This checklist helps you arrive prepared.,Bring With You,ID | dorm key info | bedding | toiletries,Move In Helpers,tool kit | labels | snacks | water
class-registration-checklist,Class Registration Checklist,college,Registering for classes is easier with a plan. This checklist keeps you organized.,Before Registration,check degree plan | list needed classes | check holds,During Registration,select sections | confirm schedule | save screenshots
study-abroad-checklist,Study Abroad Checklist,college,Study abroad requires planning and paperwork. This checklist covers the basics.,Documents,passport | visa | school forms | insurance,Travel Prep,adapter | copies of documents | emergency contacts
college-financial-aid-checklist,College Financial Aid Checklist,college,Financial aid has deadlines and steps. This checklist helps you stay on track.,Key Tasks,fill FAFSA | check deadlines | submit documents,Helpful Steps,create budget | track emails | save award letter
internship-prep-checklist,Internship Preparation Checklist,career,Internships are easier when you prepare early. This checklist helps you get ready.,Before Starting,confirm schedule | dress code | paperwork,First Week,meet supervisor | set goals | take notes
two-weeks-notice-checklist,Two Weeks Notice Checklist,career,Leaving a job professionally matters. This checklist helps you resign the right way.,Before You Resign,write letter | plan last day | save contacts,After Notice,document work | train replacement | return equipment
work-trip-checklist,Work Trip Packing Checklist,career,Work travel is smoother when prepared. This checklist covers business trip essentials.,Work Essentials,laptop | charger | notebook | business cards,Travel Essentials,toiletries | casual clothes | headphones
performance-review-checklist,Performance Review Checklist,career,Performance reviews go better with preparation. This checklist helps you get ready.,Prepare Notes,accomplishments | metrics | projects | feedback,Meeting Prep,goals | questions | next steps
kitchen-stockup-checklist,Kitchen Stock Up Checklist,home,Stocking a kitchen is easier when organized. This checklist covers core cooking needs.,Cooking Basics,salt | pepper | oil | rice | pasta,Kitchen Tools,cutting board | knife | spatula | measuring cups
pantry-staples-checklist,Pantry Staples Checklist,home,Pantry staples make meals easier. This checklist helps you stock the basics.,Staples,rice | pasta | canned tomatoes | beans | oats,Seasonings,salt | pepper | garlic powder | chili powder | italian seasoning
home-inventory-checklist,Home Inventory Checklist,home,A home inventory helps with insurance and organization. This checklist helps you document items.,Record Items,photos | serial numbers | receipts,Store Safely,cloud backup | printed copy | safe location
renter-setup-checklist,Renter Move In Setup Checklist,home,Renters have specific setup tasks after moving in. This checklist helps you get settled fast.,First Day Tasks,check locks | test smoke alarms | locate shutoff valves,Setup Tasks,set utilities | internet setup | trash schedule
apartment-utilities-checklist,Utilities Setup Checklist,moving,Utilities can take time to activate. This checklist helps you set them up before move in.,Utilities,electric | water | gas | internet,Account Tasks,confirm start dates | autopay setup | save account numbers
deep-freezer-checklist,Deep Freezer Organization Checklist,home,A deep freezer saves money when organized. This checklist helps you label and store food.,Organize Steps,label bags | date items | group categories,Maintenance,defrost freezer | wipe shelves | update list
pet-sitting-checklist,Pet Sitting Checklist,pets,Pet sitting is easier with a plan. This checklist helps you care for a pet safely.,Daily Care,food | water | walk schedule | litter box,Important Info,veterinarian contact | meds instructions | emergency numbers
dog-grooming-at-home-checklist,Dog Grooming At Home Checklist,pets,Home grooming saves time. This checklist covers basic supplies and steps.,Supplies,brush | nail clippers | dog shampoo | towels,Grooming Steps,brush coat | trim nails | clean ears
cat-litter-setup-checklist,Cat Litter Setup Checklist,pets,A good litter setup prevents mess and stress. This checklist covers essentials.,Litter Essentials,litter box | litter | scoop | liners,Setup Tips,quiet location | mat | regular cleaning schedule
new-dog-checklist,New Dog Checklist,pets,Bringing home a dog is easier with preparation. This checklist covers the basics.,Dog Essentials,food | bowl | leash | collar | crate,Comfort Items,bed | toys | treats | blanket
pet-vet-visit-checklist,Vet Visit Checklist,pets,Vet visits go smoother when prepared. This checklist helps you bring the right info.,Bring With You,medical records | meds list | questions,Pet Items,leash | carrier | treats | towel
hurricane-evacuation-checklist,Hurricane Evacuation Checklist,emergency,Evacuation is easier when planned. This checklist helps you leave quickly and safely.,Grab First,documents | medications | phone charger | cash,Pack Next,clothes | water | snacks | pet supplies
first-aid-kit-checklist,First Aid Kit Checklist,emergency,A first aid kit helps during minor injuries. This checklist covers key supplies.,Supplies,bandages | gauze | antiseptic wipes | tape | gloves,Extras,pain reliever | tweezers | thermometer
boil-water-advisory-checklist,Boil Water Advisory Checklist,emergency,Boil water advisories require quick changes. This checklist helps you stay safe.,Water Steps,boil water | store clean water | use bottled water,Hygiene Steps,hand sanitizer | disposable plates | disinfect surfaces
car-accident-checklist,Car Accident Checklist,emergency,Car accidents are stressful. This checklist helps you handle the basics safely.,Immediate Steps,move to safe area | call police | check injuries,Documentation,photos | exchange info | insurance claim notes
school-emergency-kit-checklist,School Emergency Kit Checklist,emergency,Schools and parents benefit from a simple emergency kit. This checklist covers essentials.,Kit Items,water | snacks | flashlight | batteries,Info Items,contact list | meds list | copies of documents
running-race-day-checklist,Race Day Checklist,fitness,Race day goes better with preparation. This checklist helps you show up ready.,Race Essentials,bib | shoes | socks | water bottle,Nutrition Items,energy gel | banana | electrolyte drink
strength-training-checklist,Strength Training Checklist,fitness,Strength workouts are safer with preparation. This checklist covers basics.,Workout Essentials,warm up | proper shoes | water,Training Items,logbook | resistance bands | towel
yoga-class-checklist,Yoga Class Checklist,fitness,Yoga class is easier when prepared. This checklist covers what to bring.,Essentials,yoga mat | water bottle | towel,Optional Items,yoga blocks | strap | light snack
meal-planning-checklist,Meal Planning Checklist,home,Meal planning saves time and money. This checklist helps you plan the week.,Plan Steps,choose meals | check pantry | write grocery list,Prep Steps,prep ingredients | portion snacks | label containers
weekly-grocery-list-checklist,Weekly Grocery List Checklist,home,A weekly grocery list prevents forgotten items. This checklist covers common basics.,Fresh Items,fruit | vegetables | eggs | milk,Pantry Items,rice | pasta | canned goods | snacks
cooking-batch-prep-checklist,Batch Cooking Prep Checklist,home,Batch cooking is easier with a plan. This checklist helps you prep and store meals.,Prep Steps,choose recipes | prep containers | shop ingredients,Cook Steps,cook proteins | cook grains | portion meals
dishwasher-loading-checklist,Dishwasher Loading Checklist,home,Loading a dishwasher correctly improves cleaning. This checklist covers quick rules.,Before Loading,scrape food | check filter | run hot water,Load Tips,face dirty side inward | avoid nesting | keep spray arms clear
fridge-cleanout-checklist,Fridge Cleanout Checklist,home,Cleaning out the fridge prevents waste and smells. This checklist keeps it simple.,Clean Steps,remove food | wipe shelves | sanitize drawers,Organize Steps,date leftovers | group items | set fridge temp
